date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:45	5004/5004	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:02%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery2/05.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery2/05.jpg	(from http://dbk4.kiev.ua/gallereya/nasha-produkciya.html)
01:15:04	115150/115150	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/01.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/01.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:15:05	3935/3935	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:49:46%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/01.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/01.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:15:20	429449/429449	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2012:56:32%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery2/03.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery2/03.jpg	(from http://dbk4.kiev.ua/gallereya/nasha-produkciya.html)
01:15:21	4100/4100	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/02.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/02.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:15:23	439567/439567	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2012:56:32%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery2/04.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery2/04.jpg	(from http://dbk4.kiev.ua/gallereya/nasha-produkciya.html)
01:15:23	4615/4615	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/03.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/03.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:15:41	494755/494755	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2012:56:32%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery2/05.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery2/05.jpg	(from http://dbk4.kiev.ua/gallereya/nasha-produkciya.html)
01:15:42	5038/5038	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/04.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/04.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:19	462797/462797	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/02.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/02.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:20	4427/4427	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/05.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/05.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:32	439371/439371	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/03.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/03.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:32	4152/4152	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/06.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/06.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:57	460458/460458	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/05.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/05.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:58	4534/4534	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/07.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/07.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:58	590744/590744	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/04.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/04.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:16:59	4445/4445	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/08.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/08.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:17:23	390470/390470	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/06.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/06.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:17:24	4378/4378	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/09.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/09.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:17:47	464332/464332	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/07.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/07.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:17:48	4747/4747	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2015:50:06%20GMT	http://dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/10.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/_thumbnails/gallery3/10.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
01:18:01	394406/394406	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Jan%202013%2013:01:54%20GMT	http://dbk4.kiev.ua/assets/images/gallery/gallery3/08.jpg	D:/Plish2/Plish2/dbk4.kiev.ua/assets/images/gallery/gallery3/08.jpg	(from http://dbk4.kiev.ua/gallereya/nash-zavod.html)
